"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"23",23,20,"3",75,9742,"1","0","3","3","0","4","0","5","2","2","0","2",8,5,2002,2002,"3","1","12","13","1",281,"2","4","2","3","4","4","6",0,"6",0,1777,1777,"1","0","1","4",1795,0,0,1795,0,0,2,0,3,1,"2",7,"6",1,"3","1",2002,"2",2,534,"5","5","2",171,159,0,0,0,0,"0","0","0",0,9,2008,"8","4",230000
"24",24,120,"4",44,4224,"1","0","3","3","0","4","0","10","2","2","4","2",5,7,1976,1976,"1","1","5","5","2",0,"3","4","2","3","4","4","3",840,"6",0,200,1040,"1","4","1","4",1060,0,0,1060,1,0,1,0,3,1,"3",6,"6",1,"5","1",1976,"3",2,572,"5","5","2",100,110,0,0,0,0,"0","0","0",0,6,2007,"8","4",129900
"26",26,20,"3",110,14230,"1","0","3","3","0","0","0","15","2","2","0","2",8,5,2007,2007,"1","1","12","13","3",640,"2","4","2","3","4","4","6",0,"6",0,1566,1566,"1","0","1","4",1600,0,0,1600,0,0,2,0,3,1,"2",7,"6",1,"3","1",2007,"2",3,890,"5","5","2",0,56,0,0,0,0,"0","0","0",0,7,2009,"8","4",256300
"27",27,20,"3",60,7200,"1","0","3","3","0","0","0","12","2","2","0","2",5,7,1951,2000,"1","1","13","14","2",0,"3","4","1","4","4","3","1",234,"5",486,180,900,"1","4","1","4",900,0,0,900,0,1,1,0,3,1,"2",5,"6",0,"0","5",2005,"3",2,576,"5","5","2",222,32,0,0,0,0,"0","0","0",0,5,2010,"8","4",134800
"28",28,20,"3",98,11478,"1","0","3","3","0","4","0","15","2","2","0","2",8,5,2007,2008,"1","1","12","13","3",200,"2","4","2","1","4","4","3",1218,"6",0,486,1704,"1","0","1","4",1704,0,0,1704,1,0,2,0,3,1,"2",7,"6",1,"3","1",2008,"2",3,772,"5","5","2",0,50,0,0,0,0,"0","0","0",0,5,2010,"8","4",306000
"29",29,20,"3",47,16321,"1","0","0","3","0","1","0","12","2","2","0","2",5,6,1957,1997,"1","1","8","8","2",0,"3","4","1","4","4","2","1",1277,"6",0,207,1484,"1","4","1","4",1600,0,0,1600,1,0,1,0,2,1,"3",6,"6",2,"3","1",1957,"2",1,319,"5","5","2",288,258,0,0,0,0,"0","0","0",0,12,2006,"8","4",207500
"30",30,30,"4",60,6324,"1","0","0","3","0","4","0","3","1","7","0","2",4,6,1927,1950,"1","1","8","8","2",0,"3","4","0","4","4","4","6",0,"6",0,520,520,"1","1","0","4",520,0,0,520,0,0,1,0,1,1,"1",4,"6",0,"0","5",1920,"3",1,240,"2","5","2",49,0,87,0,0,0,"0","0","0",0,5,2008,"8","4",68500
"31",31,70,"0",50,8500,"1","2","3","3","0","4","0","9","1","2","0","5",4,4,1920,1950,"2","1","3","3","2",0,"3","1","0","4","4","4","6",0,"6",0,649,649,"1","4","0","4",649,668,0,1317,0,0,1,0,3,1,"3",6,"6",0,"0","5",1920,"3",1,250,"5","2","0",0,54,172,0,0,0,"0","3","0",0,7,2008,"8","4",40000
"33",33,20,"3",85,11049,"1","0","3","3","0","0","0","5","2","2","0","2",8,5,2007,2007,"1","1","12","13","2",0,"2","4","2","1","4","0","6",0,"6",0,1234,1234,"1","0","1","4",1234,0,0,1234,0,0,2,0,3,1,"2",7,"6",0,"0","1",2007,"2",2,484,"5","5","2",0,30,0,0,0,0,"0","0","0",0,1,2008,"8","4",179900
"34",34,20,"3",70,10552,"1","0","0","3","0","4","0","12","2","2","0","2",5,5,1959,1959,"3","1","3","3","2",0,"3","4","1","4","4","4","5",1018,"6",0,380,1398,"1","2","1","4",1700,0,0,1700,0,1,1,1,4,1,"2",6,"6",1,"3","1",1959,"2",2,447,"5","5","2",0,38,0,0,0,0,"0","0","0",0,4,2010,"8","4",165500
"35",35,120,"3",60,7313,"1","0","3","3","0","4","0","15","2","2","4","2",9,5,2005,2005,"3","1","8","8","1",246,"0","4","2","1","4","4","3",1153,"6",0,408,1561,"1","0","1","4",1561,0,0,1561,1,0,2,0,2,1,"0",6,"6",1,"3","1",2005,"1",2,556,"5","5","2",203,47,0,0,0,0,"0","0","0",0,8,2007,"8","4",277500
"36",36,60,"3",108,13418,"1","0","3","3","0","4","0","15","2","2","0","5",8,5,2004,2005,"1","1","12","13","3",132,"2","4","2","1","4","0","6",0,"6",0,1117,1117,"1","0","1","4",1132,1320,0,2452,0,0,3,1,4,1,"2",9,"6",1,"3","3",2004,"1",3,691,"5","5","2",113,32,0,0,0,0,"0","0","0",0,9,2006,"8","4",309000
"37",37,20,"3",112,10859,"1","0","3","3","0","0","0","5","2","2","0","2",5,5,1994,1995,"1","1","12","13","2",0,"3","4","2","3","4","4","6",0,"6",0,1097,1097,"1","0","1","4",1097,0,0,1097,0,0,1,1,3,1,"3",6,"6",0,"0","1",1995,"3",2,672,"5","5","2",392,64,0,0,0,0,"0","0","0",0,6,2009,"8","4",145000
"38",38,20,"3",74,8532,"1","0","3","3","0","4","0","12","2","2","0","2",5,6,1954,1990,"3","1","13","14","1",650,"3","4","1","4","4","4","5",1213,"6",0,84,1297,"1","2","1","4",1297,0,0,1297,0,1,1,0,3,1,"3",5,"6",1,"5","1",1954,"1",2,498,"5","5","2",0,0,0,0,0,0,"0","0","0",0,10,2009,"8","4",153000
"39",39,20,"3",68,7922,"1","0","3","3","0","4","0","12","2","2","0","2",5,7,1953,2007,"1","1","12","13","2",0,"3","2","1","4","4","4","3",731,"6",0,326,1057,"1","4","1","4",1057,0,0,1057,1,0,1,0,3,1,"2",5,"6",0,"0","5",1953,"3",1,246,"5","5","2",0,52,0,0,0,0,"0","0","0",0,1,2010,"8","0",109000
"41",41,20,"3",84,8658,"1","0","3","3","0","4","0","12","2","2","0","2",6,5,1965,1965,"1","1","13","14","1",101,"3","4","1","4","4","4","5",643,"6",0,445,1088,"1","0","1","4",1324,0,0,1324,0,0,2,0,3,1,"3",6,"6",1,"5","1",1965,"2",2,440,"5","5","2",0,138,0,0,0,0,"0","2","0",0,12,2006,"8","0",160000
"42",42,20,"3",115,16905,"1","0","3","3","0","4","0","23","2","2","0","2",5,6,1959,1959,"1","1","12","13","2",0,"3","2","1","4","4","2","1",967,"6",0,383,1350,"1","2","1","4",1328,0,0,1328,0,1,1,1,2,1,"3",5,"6",2,"3","1",1959,"2",1,308,"5","5","1",0,104,0,0,0,0,"0","0","0",0,7,2007,"8","4",170000
"45",45,20,"3",70,7945,"1","0","3","3","0","4","0","12","2","2","0","2",5,6,1959,1959,"1","1","3","14","2",0,"3","4","1","4","4","4","0",179,"1",506,465,1150,"1","0","1","0",1150,0,0,1150,1,0,1,0,3,1,"3",6,"6",0,"0","1",1959,"2",1,300,"5","5","2",0,0,0,0,0,0,"0","0","0",0,5,2006,"8","4",141000
"46",46,120,"3",61,7658,"1","0","3","3","0","4","0","15","2","2","4","2",9,5,2005,2005,"3","1","8","8","1",412,"0","4","2","1","4","4","3",456,"6",0,1296,1752,"1","0","1","4",1752,0,0,1752,1,0,2,0,2,1,"0",6,"6",1,"3","1",2005,"2",2,576,"5","5","2",196,82,0,0,0,0,"0","0","0",0,2,2010,"8","4",319900
"47",47,50,"3",48,12822,"1","0","0","3","0","1","0","11","2","2","0","0",7,5,2003,2003,"1","1","12","13","2",0,"2","4","2","1","4","4","3",1351,"6",0,83,1434,"1","0","1","4",1518,631,0,2149,1,0,1,1,1,1,"2",6,"6",1,"1","1",2003,"2",2,670,"5","5","2",168,43,0,0,198,0,"0","0","0",0,8,2009,"8","0",239686
"48",48,20,"1",84,11096,"1","0","3","3","0","4","0","20","2","2","0","2",8,5,2006,2006,"1","1","12","13","2",0,"2","4","2","3","4","0","3",24,"6",0,1632,1656,"1","0","1","4",1656,0,0,1656,0,0,2,0,3,1,"2",7,"6",0,"0","1",2006,"2",3,826,"5","5","2",0,146,0,0,0,0,"0","0","0",0,7,2007,"8","4",249700
"50",50,20,"3",66,7742,"1","0","3","3","0","4","0","18","2","2","0","2",5,7,1966,1966,"1","1","6","6","2",0,"3","4","1","4","4","4","1",763,"6",0,192,955,"1","0","1","4",955,0,0,955,1,0,1,0,3,1,"3",6,"6",0,"0","1",1966,"3",1,386,"5","5","2",0,0,0,0,0,0,"0","3","0",0,1,2007,"8","4",127000
"52",52,50,"4",52,6240,"1","0","3","3","0","4","0","3","2","2","0","0",6,6,1934,1950,"1","1","13","14","2",0,"3","4","2","4","4","4","6",0,"6",0,816,816,"1","4","1","4",816,0,360,1176,0,0,1,0,3,1,"3",6,"6",1,"3","5",1985,"3",2,528,"5","5","2",112,0,0,0,0,0,"0","3","3",400,9,2006,"8","4",114500
"53",53,90,"4",110,8472,"0","0","1","0","0","0","1","9","8","2","2","2",5,5,1963,1963,"1","1","13","14","2",0,"1","4","1","3","4","2","4",104,"3",712,0,816,"1","4","0","4",816,0,0,816,1,0,1,0,2,1,"3",5,"6",0,"0","4",1963,"3",2,516,"5","5","2",106,0,0,0,0,0,"0","0","0",0,5,2010,"8","4",110000
"54",54,20,"3",68,50271,"1","0","0","2","0","4","0","24","2","2","0","2",9,5,1981,1987,"1","7","14","15","2",0,"2","4","1","1","4","2","3",1810,"6",0,32,1842,"1","2","1","4",1842,0,0,1842,2,0,0,1,0,1,"2",5,"6",1,"3","1",1981,"1",3,894,"5","5","2",857,72,0,0,0,0,"0","0","0",0,11,2006,"8","4",385000
"55",55,80,"3",60,7134,"1","0","3","0","0","4","1","12","2","2","0","7",5,5,1955,1955,"1","1","8","8","2",0,"3","4","1","4","4","4","0",384,"6",0,0,384,"1","4","1","4",1360,0,0,1360,0,0,1,0,3,1,"3",6,"2",1,"5","5",1962,"3",2,572,"5","5","2",0,50,0,0,0,0,"0","3","0",0,2,2007,"8","4",130000
"56",56,20,"3",100,10175,"1","0","0","3","0","4","0","12","2","2","0","2",6,5,1964,1964,"1","1","6","10","1",272,"3","4","1","4","4","4","1",490,"6",0,935,1425,"1","2","1","4",1425,0,0,1425,0,0,2,0,3,1,"3",7,"6",1,"3","1",1964,"2",2,576,"5","5","2",0,0,0,407,0,0,"0","0","0",0,7,2008,"8","4",180500
"57",57,160,"1",24,2645,"1","2","3","3","0","4","0","20","2","2","3","5",8,5,1999,2000,"1","1","8","8","1",456,"2","4","2","3","4","4","3",649,"6",0,321,970,"1","0","1","4",983,756,0,1739,1,0,2,1,3,1,"2",7,"6",0,"0","1",1999,"1",2,480,"5","5","2",115,0,0,0,0,0,"0","0","0",0,8,2009,"8","0",172500
"58",58,60,"3",89,11645,"1","0","0","3","0","0","0","5","2","2","0","5",7,5,2004,2004,"1","1","12","13","2",0,"2","4","2","3","4","4","6",0,"6",0,860,860,"1","0","1","4",860,860,0,1720,0,0,2,1,3,1,"2",7,"6",0,"0","1",2004,"2",2,565,"5","5","2",0,70,0,0,0,0,"0","0","0",0,8,2006,"8","4",196500
"59",59,60,"3",66,13682,"1","0","1","1","0","1","0","21","2","2","0","5",10,5,2006,2006,"3","1","12","13","1",1031,"0","4","2","1","4","2","6",0,"6",0,1410,1410,"1","0","1","4",1426,1519,0,2945,0,0,3,1,3,1,"2",10,"6",1,"3","3",2006,"1",3,641,"5","5","2",192,0,37,0,0,0,"0","0","0",0,10,2006,"6","5",438780
"60",60,20,"3",60,7200,"1","0","3","0","0","4","0","5","2","2","0","2",5,7,1972,1972,"1","1","6","6","2",0,"3","4","1","4","4","0","0",632,"6",0,148,780,"1","0","1","4",780,0,0,780,0,0,1,0,2,1,"3",4,"6",0,"0","5",1973,"3",1,352,"5","5","2",196,0,0,0,0,0,"0","3","0",0,1,2008,"8","4",124900
"61",61,20,"3",63,13072,"1","0","3","3","0","4","0","19","5","2","0","2",6,5,2004,2004,"1","1","12","13","2",0,"3","4","2","3","4","4","0",941,"6",0,217,1158,"1","0","1","4",1158,0,0,1158,1,0,1,1,3,1,"2",5,"6",0,"0","5",2006,"3",2,576,"5","5","2",0,50,0,0,0,0,"0","0","0",0,5,2006,"6","5",158000
"62",62,75,"4",60,7200,"1","0","3","3","0","4","0","9","2","2","0","4",5,7,1920,1996,"1","1","8","8","2",0,"3","4","0","4","1","4","6",0,"6",0,530,530,"1","4","0","4",581,530,0,1111,0,0,1,0,3,1,"1",6,"6",0,"0","5",1935,"3",1,288,"5","5","0",0,0,144,0,0,0,"0","0","0",0,3,2007,"8","4",101000
"63",63,120,"3",44,6442,"1","0","0","3","0","4","0","15","2","2","4","2",8,5,2006,2006,"1","1","12","13","3",178,"2","4","2","3","2","3","3",24,"6",0,1346,1370,"1","0","1","4",1370,0,0,1370,0,0,2,0,2,1,"2",6,"6",1,"3","1",2006,"2",2,484,"5","5","2",120,49,0,0,0,0,"0","0","0",0,10,2007,"8","4",202500
"64",64,70,"4",50,10300,"1","0","0","0","0","4","0","17","6","1","0","5",7,6,1921,1950,"1","1","11","12","2",0,"3","4","0","4","4","4","6",0,"6",0,576,576,"1","2","1","4",902,808,0,1710,0,0,2,0,3,1,"3",9,"6",0,"0","5",1990,"3",2,480,"5","5","2",12,11,64,0,0,0,"0","1","0",0,4,2010,"8","4",140000
"66",66,60,"3",76,9591,"1","0","3","3","0","4","0","15","2","2","0","5",8,5,2004,2005,"1","1","12","13","1",344,"2","4","2","1","4","0","6",0,"6",0,1143,1143,"1","0","1","4",1143,1330,0,2473,0,0,2,1,4,1,"2",9,"6",1,"3","3",2004,"2",3,852,"5","5","2",192,151,0,0,0,0,"0","0","0",0,10,2007,"8","4",317000
"68",68,20,"3",72,10665,"1","0","0","3","0","4","0","5","2","2","0","2",7,5,2003,2003,"1","1","12","13","1",167,"2","4","2","3","4","0","3",1013,"6",0,440,1453,"1","0","1","4",1479,0,0,1479,1,0,2,0,3,1,"2",7,"6",0,"0","1",2003,"2",2,558,"5","5","2",144,29,0,0,0,0,"0","0","0",0,6,2007,"8","4",226000
"69",69,30,"4",47,4608,"1","0","3","3","0","0","0","17","0","2","0","2",4,6,1945,1950,"1","1","8","8","2",0,"3","2","1","4","4","4","6",0,"6",0,747,747,"1","4","1","4",747,0,0,747,0,0,1,0,2,1,"3",4,"6",0,"0","1",1945,"3",1,220,"5","5","2",0,0,0,0,0,0,"0","0","0",0,6,2010,"8","4",80000
"70",70,50,"3",81,15593,"1","0","3","3","0","0","0","4","2","2","0","0",7,4,1953,1953,"1","1","3","0","2",0,"2","4","1","4","4","4","1",603,"6",0,701,1304,"2","4","1","4",1304,983,0,2287,0,0,2,0,3,1,"3",7,"6",1,"5","1",1953,"1",2,667,"5","5","2",0,21,114,0,0,0,"0","0","0",0,7,2006,"8","4",225000
"71",71,20,"3",95,13651,"1","0","0","3","0","4","0","12","2","2","0","2",7,6,1973,1973,"1","1","9","10","1",1115,"3","2","1","3","4","2","0",1880,"6",0,343,2223,"1","0","1","4",2223,0,0,2223,1,0,2,0,3,1,"3",8,"6",2,"3","1",1973,"1",2,516,"5","5","2",300,0,0,0,0,0,"0","0","0",0,2,2007,"8","4",244000
"72",72,20,"3",69,7599,"1","0","3","3","0","0","0","11","2","2","0","2",4,6,1982,2006,"1","1","6","10","2",0,"3","4","1","4","4","4","0",565,"6",0,280,845,"1","4","1","4",845,0,0,845,1,0,1,0,2,1,"3",4,"6",0,"0","5",1987,"3",2,360,"5","5","2",0,0,0,0,0,0,"0","0","0",0,6,2007,"8","4",129500
"73",73,60,"3",74,10141,"1","0","0","3","0","0","0","8","2","2","0","5",7,5,1998,1998,"1","1","12","13","1",40,"3","4","2","3","4","4","6",0,"6",0,832,832,"1","2","1","4",885,833,0,1718,0,0,2,1,3,1,"3",7,"6",1,"5","1",1998,"1",2,427,"5","5","2",0,94,0,0,291,0,"0","0","0",0,12,2009,"8","4",185000
"74",74,20,"3",85,10200,"1","0","3","3","0","4","0","12","2","2","0","2",5,7,1954,2003,"1","1","13","14","1",104,"3","4","1","4","4","4","0",320,"1",362,404,1086,"1","2","1","4",1086,0,0,1086,1,0,1,0,3,1,"3",6,"6",0,"0","1",1989,"3",2,490,"5","5","2",0,0,0,0,0,0,"0","2","0",0,5,2010,"8","4",144900
"75",75,50,"4",60,5790,"1","0","3","3","0","0","0","17","2","2","0","5",3,6,1915,1950,"2","1","12","13","2",0,"2","2","1","2","4","4","6",0,"6",0,840,840,"1","2","0","4",840,765,0,1605,0,0,2,0,3,2,"3",8,"6",0,"0","5",1915,"3",1,379,"5","5","2",0,0,202,0,0,0,"0","0","0",0,5,2010,"8","4",107400
"76",76,180,"4",21,1596,"1","0","3","3","0","4","0","10","2","2","3","7",4,5,1973,1973,"1","1","5","5","2",0,"3","4","1","3","4","2","3",462,"6",0,0,462,"1","4","1","4",526,462,0,988,1,0,1,0,2,1,"3",5,"6",0,"0","3",1973,"3",1,297,"5","5","2",120,101,0,0,0,0,"0","2","0",0,11,2009,"8","4",91000
"78",78,50,"4",50,8635,"1","0","3","3","0","4","0","3","2","2","0","0",5,5,1948,2001,"1","1","13","14","2",0,"3","4","1","4","4","4","1",336,"3",41,295,672,"1","4","1","4",1072,213,0,1285,1,0,1,0,2,1,"3",6,"2",0,"0","5",1948,"3",1,240,"5","5","2",0,0,0,0,0,0,"0","3","0",0,1,2008,"8","4",127000
"80",80,50,"4",60,10440,"1","1","3","3","0","0","0","17","2","2","0","5",5,6,1910,1981,"1","1","13","14","2",0,"3","4","2","4","4","4","6",0,"6",0,440,440,"1","2","1","4",682,548,0,1230,0,0,1,1,2,1,"3",5,"6",0,"0","5",1966,"3",2,440,"5","5","2",74,0,128,0,0,0,"0","3","0",0,5,2009,"8","4",110000
"81",81,60,"3",100,13000,"1","0","3","3","0","0","0","12","2","2","0","5",6,6,1968,1968,"1","1","12","13","1",576,"3","2","1","3","4","4","5",448,"6",0,448,896,"1","4","1","4",1182,960,0,2142,0,0,2,1,4,1,"2",8,"6",1,"3","1",1968,"1",1,509,"5","5","2",0,72,0,0,252,0,"0","0","0",0,6,2009,"8","4",193500
"82",82,120,"4",32,4500,"1","0","3","3","0","2","0","11","2","2","4","2",6,5,1998,1998,"3","1","12","13","1",443,"3","2","2","1","2","4","3",1201,"6",0,36,1237,"1","0","1","4",1337,0,0,1337,1,0,2,0,2,1,"3",5,"6",0,"0","1",1998,"1",2,405,"5","5","2",0,199,0,0,0,0,"0","0","0",0,3,2006,"8","4",153500
"83",83,20,"3",78,10206,"1","0","3","3","0","4","0","20","2","2","0","2",8,5,2007,2007,"1","1","12","13","3",468,"3","4","2","3","4","4","3",33,"6",0,1530,1563,"1","0","1","4",1563,0,0,1563,0,0,2,0,3,1,"2",6,"6",1,"3","1",2007,"2",3,758,"5","5","2",144,99,0,0,0,0,"0","0","0",0,10,2008,"8","4",245000
"84",84,20,"3",80,8892,"1","0","0","3","0","4","0","12","2","2","0","2",5,5,1960,1960,"1","1","8","8","0",66,"3","4","1","4","4","4","6",0,"6",0,1065,1065,"1","2","1","4",1065,0,0,1065,0,0,1,1,3,1,"3",6,"6",0,"0","5",1974,"3",2,461,"5","5","2",74,0,0,0,0,0,"0","0","0",0,7,2007,"0","4",126500
